[2019-11-05 21:09:57]{::1}: E_NOTICE | Undefined variable: _SESSION | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 5
[2019-11-05 21:09:57]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 32
[2019-11-05 21:10:03]{::1}: E_NOTICE | Undefined variable: _SESSION | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 5
[2019-11-05 21:10:03]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 32
[2019-11-05 21:10:12]{::1}: E_NOTICE | Undefined variable: _SESSION | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 5
[2019-11-05 21:10:12]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 32
[2019-11-05 21:10:39]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 32
[2019-11-05 21:11:42]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 33
[2019-11-05 21:11:42]{::1}: E_WARNING | require_once(models/utils.php): failed to open stream: No such file or directory | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\menu_h.php | line: 3
[2019-11-05 21:11:44]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 33
[2019-11-05 21:11:44]{::1}: E_WARNING | require_once(models/utils.php): failed to open stream: No such file or directory | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\menu_h.php | line: 3
[2019-11-05 21:11:52]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 33
[2019-11-05 21:11:52]{::1}: E_WARNING | require_once(models/utils.php): failed to open stream: No such file or directory | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\menu_h.php | line: 3
[2019-11-05 21:12:41]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 33
[2019-11-05 21:14:27]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 35
[2019-11-05 21:14:31]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\signin_h.php | line: 35
[2019-11-05 21:32:02]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\menu_h.php | line: 7
[2019-11-05 21:33:16]{::1}: E_USER_ERROR | Несуществующий логин | file: C:\Programs\xampp\htdocs\DoISS\web\request_handlers\menu_h.php | line: 7
